id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
306,BEL,Mar 2024,20268,15217,5051.0,25.0,670,12,443,5266,25.0,3985,5.0,40.0,372.0,11.0,73.0,43.0,33.0,161.0,18.0,0.0,1.0,142.0,161.0,289.0,4659.0,-5924.0,-1475.0,-2739.0,19.66153542530096,0.5119047619047619,-1265.0
307,BEL,TTM,21575,15867,5708.0,26.0,754,7,445,6010,,4541,6.0,,,,,,,,,,,,,,,,,,21.04750869061414,,
308,BHEL,Mar 2013,48903,39420,9483.0,19.0,1132,128,957,9531,30.0,6693,18.0,20.0,387.0,490.0,30059.0,2698.0,38572.0,71818.0,4667.0,2467.0,6.0,64679.0,71818.0,302.0,1759.0,-1113.0,472.0,1118.0,13.68627691552665,0.08831712985695113,646.0
309,BHEL,Mar 2014,39561,34982,4579.0,12.0,1617,133,985,5078,31.0,3502,10.0,20.0,388.0,490.0,32681.0,4693.0,37468.0,75331.0,4729.0,2931.0,6.0,67665.0,75331.0,303.0,4512.0,-868.0,523.0,4167.0,8.852152372285838,0.1414790027433602,3644.0
310,BHEL,Mar 2015,31323,29183,2141.0,7.0,1221,92,1082,2187,34.0,1450,4.0,20.0,389.0,490.0,33717.0,1889.0,34887.0,70983.0,4230.0,2614.0,6.0,64134.0,70983.0,304.0,821.0,650.0,-3543.0,-2071.0,4.629186220987772,0.05522261525418774,1471.0
311,BHEL,Mar 2016,25505,26862,-1357.0,-5.0,1492,360,937,-1161,-39.0,-706,-2.0,-14.0,390.0,490.0,31825.0,211.0,33051.0,65577.0,3969.0,318.0,796.0,60494.0,65577.0,305.0,374.0,23.0,-122.0,275.0,-2.768084689276612,0.006529475475785239,397.0
312,BHEL,Mar 2017,28465,27370,1095.0,4.0,753,413,850,586,22.0,455,1.0,85.0,391.0,490.0,31899.0,156.0,29153.0,61698.0,3601.0,168.0,757.0,57171.0,61698.0,306.0,560.0,-565.0,-468.0,-473.0,1.598454242051643,0.004816450029330946,-5.0
313,BHEL,Mar 2018,28827,27174,1653.0,6.0,679,330,787,1215,64.0,438,1.0,151.0,392.0,734.0,31601.0,110.0,31495.0,63940.0,3073.0,203.0,429.0,60235.0,63940.0,307.0,989.0,961.0,-667.0,1283.0,1.519408887501301,0.00340188650069584,1950.0
314,BHEL,Mar 2019,30441,28409,2032.0,7.0,662,378,476,1840,46.0,1002,3.0,69.0,393.0,696.0,30208.0,2598.0,30987.0,64490.0,2970.0,235.0,152.0,61132.0,64490.0,308.0,-3860.0,1919.0,-32.0,-1973.0,3.291613284714693,0.08406678747087756,-1941.0
315,BHEL,Mar 2020,21463,21596,-133.0,-1.0,590,613,503,-659,99.0,-1468,-4.0,0.0,394.0,696.0,27964.0,5080.0,26550.0,60291.0,2817.0,314.0,162.0,56998.0,60291.0,309.0,-2892.0,1877.0,1622.0,608.0,-6.839677584680613,0.1772505233775297,-1015.0
